,fuel,Pc,eps,Cstar,MR,PcOvPe,subar,Tc,Tt,Te,Isp,gamma
6568,propane,27.5,1.0859238243149953,1326.3892705446356,2.5,2.7147087857847976,3,1611.3815205865312,1424.8408912862283,1319.9149058111466,174.29274997227716,1.2484058920431182
6569,propane,27.5,1.0859238243149953,1326.3892705446356,2.5,2.7147087857847976,2,1611.3815205865312,1424.8408912862283,1319.9149058111466,174.29274997227716,1.2484058920431182
6570,propane,27.5,1.0813344868118957,1349.524252461748,2.75,2.7147087857847976,3,1698.1417640501427,1489.6244649869586,1371.967343920598,177.30539346933074,1.271484146666844
6571,propane,27.5,1.0813344868118957,1349.524252461748,2.75,2.7147087857847976,2,1698.1417640501427,1489.6244649869586,1371.967343920598,177.30539346933074,1.271484146666844
6572,propane,27.5,1.077416042367687,1372.0303512504308,3.0,2.7147087857847976,3,1788.0338537463354,1556.2345258170253,1426.6788042289159,180.29098828606857,1.2942916231232524
6573,propane,27.5,1.077416042367687,1372.0303512504308,3.0,2.7147087857847976,2,1788.0338537463354,1556.2345258170253,1426.6788042289159,180.29098828606857,1.2942916231232524
6574,propane,27.5,1.0748613983393556,1412.9239993058413,3.25,2.7147087857847976,3,1958.9901847826718,1699.7119731940365,1549.9492213689077,185.53733950957383,1.3125187109792311
6575,propane,27.5,1.0748613983393556,1412.9239993058413,3.25,2.7147087857847976,2,1958.9901847826718,1699.7119731940365,1549.9492213689077,185.53733950957383,1.3125187109792311
6576,propane,27.5,1.076707921278746,1451.042592825589,3.5,2.7147087857847976,3,2122.678942995716,1850.308880210529,1689.5120514295058,190.46282636867235,1.3031830807549611
6577,propane,27.5,1.076707921278746,1451.042592825589,3.5,2.7147087857847976,2,2122.678942995716,1850.308880210529,1689.5120514295058,190.46282636867235,1.3031830807549611
6578,propane,27.5,1.078525622846481,1482.8088862682603,3.75,2.7147087857847976,3,2272.0077278302256,1989.6101775332368,1819.5092355540078,194.55834100338575,1.2938130960435703
6579,propane,27.5,1.078525622846481,1482.8088862682603,3.75,2.7147087857847976,2,2272.0077278302256,1989.6101775332368,1819.5092355540078,194.55834100338575,1.2938130960435703
6580,propane,27.5,1.0802461918884523,1509.540205642772,4.0,2.7147087857847976,3,2407.9857250618315,2118.389014844188,1940.2746569754804,197.98948993623344,1.2852332911830924
6581,propane,27.5,1.0802461918884523,1509.540205642772,4.0,2.7147087857847976,2,2407.9857250618315,2118.389014844188,1940.2746569754804,197.98948993623344,1.2852332911830924
6582,propane,27.5,1.0819351900138952,1532.219050826576,4.25,2.7147087857847976,3,2531.530708637625,2237.5202118329826,2052.6538135046867,200.88608257478936,1.277088131654651
6583,propane,27.5,1.0819351900138952,1532.219050826576,4.25,2.7147087857847976,2,2531.530708637625,2237.5202118329826,2052.6538135046867,200.88608257478936,1.277088131654651
6584,propane,27.5,1.0836371840600436,1551.5582732272571,4.5,2.7147087857847976,3,2643.459253184418,2347.6618446871616,2157.328597688077,203.34362560269562,1.2691296666389102
6585,propane,27.5,1.0836371840600436,1551.5582732272571,4.5,2.7147087857847976,2,2643.459253184418,2347.6618446871616,2157.328597688077,203.34362560269562,1.2691296666389102
6586,propane,27.5,1.0853784894458596,1568.091009930462,4.75,2.7147087857847976,3,2744.5049631270927,2449.3424396749483,2254.836428755401,205.43409708275897,1.2612086681305428
6587,propane,27.5,1.0853784894458596,1568.091009930462,4.75,2.7147087857847976,2,2744.5049631270927,2449.3424396749483,2254.836428755401,205.43409708275897,1.2612086681305428
6588,propane,27.5,1.0871755168573056,1582.2265999303604,5.0,2.7147087857847976,3,2835.3082467242975,2542.9906987921086,2345.6056572245775,207.21290042397206,1.2532341404309968
